index,dataset_id,train_loss,train_acc,val_loss,val_acc,training_time_sec,hidden_layers,activation_fn,dropout_rate,learning_rate,batch_size,optimizer_type
0,Fashion,0.029026736968329976,0.99015625,0.7051946323258537,0.9010714285714285,45.285369873046875,"[459, 188]",type,0.0,0.0015308743786759,256,Adam
1,Fashion,0.02719223024589675,0.9912946428571429,0.9107268214225769,0.9002678571428572,56.335437536239624,"[352, 183]",type,0.0,0.0050569992127657,1024,Adam
2,Fashion,0.06905171765147575,0.9765848214285714,0.6124711632728577,0.9029464285714286,99.65763688087463,"[448, 102, 504]",type,0.1,0.0016314384129908,128,Adam
3,Fashion,0.021772702169089046,0.9925892857142857,0.9065868830680848,0.8974107142857143,90.97141242027283,"[120, 110, 469]",type,0.0,0.0012684734807253,128,Adam
4,Fashion,0.08635792885507856,0.9679464285714285,0.481687901701246,0.9023214285714286,41.15362477302551,"[290, 108]",type,0.1,0.004837059345424,1024,Adam
5,Fashion,0.0012072300786219005,0.9995982142857143,1.6012117467607772,0.9030357142857143,108.16965222358704,"[469, 428]",type,0.0,0.0034963987959101,1024,Adam
6,Fashion,0.010542098637005047,0.9968973214285715,1.1454375764301845,0.9009821428571428,101.37295007705688,"[306, 278, 134]",type,0.0,0.0034035024784575,512,Adam
7,Fashion,0.08868539146014623,0.9662053571428572,0.3611356292452131,0.9058928571428572,45.17480516433716,"[335, 382]",type,0.2,0.0011768667013827,1024,Adam
8,Fashion,0.02887891464999744,0.9898883928571428,0.6606845995358058,0.90375,63.60668611526489,"[376, 289]",type,0.1,0.0018821101930475,1024,Adam
9,Fashion,0.12129209636045354,0.9589508928571429,0.4145421591826848,0.9052678571428572,122.37957882881165,"[396, 256, 444, 436, 84, 294, 307]",type,0.1,0.0013979939486433,128,Adam
10,Fashion,0.010317037512764467,0.9970535714285714,0.8977479079791478,0.9008035714285715,93.6190574169159,"[75, 407, 473, 463, 371, 67]",type,0.0,0.0010372130545624,256,Adam
0,Adult,0.28025758307351134,0.8698573165269691,0.33076711292459043,0.8500319897632758,24.13572645187378,"[370, 326, 39, 269, 322, 46]",type,0.0,0.0079603295746932,256,Adam
1,Adult,0.2933939445959995,0.863714888988419,0.315634046810526,0.8504158669225848,18.693540334701538,"[484, 152, 153]",type,0.1,0.001271946903345,256,Adam
2,Adult,0.2863871897984637,0.8684816686928146,0.31470021502909107,0.8507997440818938,27.111816883087158,"[102, 244, 23]",type,0.0,0.0069453560317766,128,Adam
3,Adult,0.2807925634290643,0.8711369889308337,0.32535030035658363,0.8532309660908509,58.95441484451294,"[127, 445, 217, 49]",type,0.1,0.0045919769024958,64,Adam
4,Adult,0.2875690363222154,0.8699213001471623,0.31817010618598507,0.8513115802943059,67.48200726509094,"[327, 486, 19, 83, 343]",type,0.1,0.0041062176556494,64,Adam
5,Adult,0.3037612416825998,0.8574444942094823,0.319546240240202,0.8505438259756878,17.700491428375244,"[87, 69, 238, 488, 410, 222, 44]",type,0.0,0.0026215981930668,512,Adam
6,Adult,0.2787709443554234,0.8713289397914133,0.323718838034268,0.8514395393474088,20.743852376937866,"[276, 507, 86]",type,0.2,0.0032990719470606,512,Adam
7,Adult,0.27866028777750146,0.8712009725510269,0.3271272138819356,0.8513115802943059,106.79218220710754,"[23, 402]",type,0.1,0.0022072831186476,32,Adam
8,Adult,0.26745623752490993,0.8744961289909783,0.3256493281074922,0.8516954574536149,23.00283694267273,"[223, 357, 70]",type,0.2,0.0062936095818543,512,Adam
9,Adult,0.29642398067434156,0.8665301682769211,0.3236506682973753,0.8511836212412028,53.446481227874756,"[401, 197]",type,0.5,0.0013284806384932,64,Adam
10,Adult,0.24278602163846116,0.8856292789046004,0.3611794164793963,0.8527191298784389,22.89786958694458,"[217, 211]",type,0.0,0.0051242808239271,256,Adam
11,Adult,0.29910019728865733,0.864962569582187,0.32215231670756717,0.8488803582853487,22.149951696395874,"[431, 419, 152, 438, 17]",type,0.2,0.0020218531144939,512,Adam
12,Adult,0.2767907945621921,0.8731204811568238,0.327508203482216,0.853358925143954,39.675556898117065,"[230, 55]",type,0.5,0.0082513211263,256,Adam
13,Adult,0.2570278698764277,0.8817262780728133,0.3421120467661896,0.8525911708253359,22.384345769882202,"[468, 509]",type,0.0,0.003848848148148,256,Adam
14,Adult,0.2887521085167688,0.8694414229957131,0.3220308630800522,0.853358925143954,21.58321237564087,"[34, 403]",type,0.1,0.0072734181220716,256,Adam
0,Higgs,0.5272285954676253,0.7280724120346762,,0.7173635900050994,97.47274017333984,"[345, 378]",type,0.1,0.0037698578851104,64,Adam
1,Higgs,0.5054779168539422,0.7420799337072922,,0.7207419683834778,116.73579788208008,"[264, 155, 353, 89, 49]",type,0.0,0.0035577148604796,64,Adam
2,Higgs,0.515045815040602,0.7385581336053034,,0.7164074451810301,30.877720594406128,"[419, 418, 271, 218, 453, 211, 310]",type,0.0,0.0093567741921644,1024,Adam
3,Higgs,0.49731000745740245,0.749282891381948,,0.7160249872514024,33.03840374946594,"[150, 147, 482, 120]",type,0.0,0.0057827800635112,512,Adam
4,Higgs,0.5310228245407875,0.7318651198368179,,0.7223992860785313,106.18772077560425,"[246, 282, 33, 357, 136, 205]",type,0.2,0.0033729984665235,128,Adam
5,Higgs,0.5236797791424604,0.7269250382457929,,0.7148138704742478,104.67081832885742,"[341, 250, 349]",type,0.0,0.0086096773574459,64,Adam
6,Higgs,0.5375212497519085,0.7257617287098419,,0.715961244263131,126.52958178520203,"[195, 243, 203]",type,0.2,0.0078596663636621,128,Adam
7,Higgs,0.5135140862773718,0.735721570627231,,0.7148776134625191,108.67740321159363,"[408, 428]",type,0.1,0.0048835385714856,64,Adam
8,Higgs,0.6949997829697924,0.5227881183069862,,0.5304054054054054,220.46023273468018,"[270, 15, 39, 414, 175, 302, 357]",type,0.1,0.0022934196905815,32,Adam
9,Higgs,0.6018340385489048,0.6763449770525243,,0.693969913309536,49.5726101398468,"[70, 116, 320, 208, 321, 222]",type,0.2,0.0068140731365124,256,Adam
